parlamentar,partido,uf_partido,sessao,fase,data,hora,publicacao,link_discurso,sumario
Luiz Lima,PL,RJ,183.2022,ENCERRAMENTO,22/12/2022,9h00,DCD23/12/2022 PAG. 71,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761780&nuOrador=1&nuInsercao=1&dtHorarioQuarto=09%3A00&sgFaseSessao=EN&Data=22%2F12%2F2022&txApelido=Luiz+Lima&txFaseSessao=Encerramento&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=09%3A00,"Vultosa arrecadação do Governo Jair Bolsonaro com impostos, contribuições e demais receitas. Elevada renúncia fiscal concedida pelo atual governo no exercício de 2022."
Aline Gurgel,REPUBLICANOS,AP,183.2022,ENCERRAMENTO,22/12/2022,9h00,DCD23/12/2022 PAG. 69,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761779&nuOrador=1&nuInsercao=1&dtHorarioQuarto=09%3A00&sgFaseSessao=EN&Data=22%2F12%2F2022&txApelido=Aline+Gurgel&txFaseSessao=Encerramento&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=09%3A00,"Balanço da atuação parlamentar da oradora em prol do Estado do Amapá e do País. Agradecimento aos membros da bancada federal amapaense, às integrantes da bancada feminina na Casa, ao Governo Federal, à equipe do gabinete parlamentar da oradora e ao eleitorado do Estado do Amapá, ao ensejo de sua despedida da Câmara dos Deputados."
João Campos,REPUBLICANOS,GO,182.2022,ORDEM DO DIA,21/12/2022,23h08,DCD22/12/2022 PAG. 309,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761511&nuOrador=1&nuInsercao=1&dtHorarioQuarto=23%3A08&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Jo%C3%A3o+Campos&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=23%3A08,"Congratulações aos policiais legislativos e Líderes partidários, bem como aos Consultores Legislativos, assessores de plenário e servidores da Câmara dos Deputados. Votos de feliz Natal aos Parlamentares extensivos ao povo brasileiro."
Tiago Mitraud,NOVO,MG,182.2022,ORDEM DO DIA,21/12/2022,23h00,DCD22/12/2022 PAG. 307,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761426&nuOrador=1&nuInsercao=1&dtHorarioQuarto=23%3A00&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Tiago+Mitraud&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=23%3A00,"Orientação de bancada na votação do requerimento de apreciação em regime de urgência do Projeto de Lei nº 1.949, de 2007, sobre a instituição da Lei Geral da Polícia Civil."
João Campos,REPUBLICANOS,GO,182.2022,ORDEM DO DIA,21/12/2022,23h00,DCD22/12/2022 PAG. 307,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761430&nuOrador=1&nuInsercao=1&dtHorarioQuarto=23%3A00&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Jo%C3%A3o+Campos&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=23%3A00,"Agradecimento ao Presidente Arthur Lira e aos Parlamentares pela votação e aprovação do requerimento de apreciação em regime de urgência do Projeto de Lei nº 1.949, de 2007, sobre a instituição da Lei Geral da Polícia Civil. Frustração com a não votação, pelo Plenário, do substitutivo oferecido pelo orador ao Projeto de Lei nº 8.045, de 2010, sobre o novo Código de Processo Penal. Retrospecto de sua atuação parlamentar na Casa. Agradecimento ao povo do Estado de Goiás, aos Parlamentares e familiares, ao ensejo da despedida da Câmara dos Deputados."
Erika Kokay,PT,DF,182.2022,ORDEM DO DIA,21/12/2022,23h00,DCD22/12/2022 PAG. 307,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761424&nuOrador=1&nuInsercao=1&dtHorarioQuarto=23%3A00&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Erika+Kokay&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=23%3A00,"Orientação de bancada na votação do requerimento de apreciação em regime de urgência do Projeto de Lei nº 1.949, de 2007, sobre a instituição da Lei Geral da Polícia Civil."
Erika Kokay,PT,DF,182.2022,ORDEM DO DIA,21/12/2022,22h56,DCD22/12/2022 PAG. 305,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761415&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A56&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Erika+Kokay&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A56,"Contrariedade à apreciação em regime de urgência do Projeto de Lei nº 1.949, de 2007, sobre a instituição da Lei Geral da Polícia Civil."
Bia Kicis,PL,DF,182.2022,ORDEM DO DIA,21/12/2022,22h56,DCD22/12/2022 PAG. 306,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761417&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A56&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Bia+Kicis&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A56,"Apoio ao requerimento de apreciação em regime de urgência do Projeto de Lei nº 1.949, de 2007, sobre a instituição da Lei Geral da Polícia Civil."
Bia Kicis,PL,DF,182.2022,ORDEM DO DIA,21/12/2022,22h52,DCD22/12/2022 PAG. 305,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761592&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A52&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Bia+Kicis&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A52,"Congratulações ao Presidente em exercício dos trabalhos, Deputado General Peternelli. Votos de sucesso ao Parlamentar em suas próximas missões."
João Campos,REPUBLICANOS,GO,182.2022,ORDEM DO DIA,21/12/2022,22h48,DCD22/12/2022 PAG. 303,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761586&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A48&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Jo%C3%A3o+Campos&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A48,"Orientação de bancada na votação dos arts. 1º, 3º ao 9º, 10 e 11, com parecer favorável, do substitutivo do Senado Federal ao Projeto de Lei nº 4.513, de 2020, sobre a instituição da Política Nacional de Educação Digital e a alteração das Leis de nºs 9.394, de 1996, (Lei de Diretrizes e Bases da Educação Nacional), 9.448, de 1997; 10.260, de 2001; e 10.753, de 2003."
Erika Kokay,PT,DF,182.2022,ORDEM DO DIA,21/12/2022,22h48,DCD22/12/2022 PAG. 303,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761584&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A48&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Erika+Kokay&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A48,"Declaração de voto do PT pela aprovação do Projeto de Lei nº 4.513, de 2020, sobre a instituição da Política Nacional de Educação Digital e a alteração das Leis de nºs 9.394, de 1996, (Lei de Diretrizes e Bases da Educação Nacional), 9.448, de 1997; 10.260, de 2001; e 10.753, de 2003."
Bia Kicis,PL,DF,182.2022,ORDEM DO DIA,21/12/2022,22h48,DCD22/12/2022 PAG. 303,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761581&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A48&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Bia+Kicis&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A48,"Orientação de bancada na votação dos arts. 1º, 3º ao 9º, 10 e 11, com parecer favorável, do substitutivo do Senado Federal ao Projeto de Lei nº 4.513, de 2020, sobre a instituição da Política Nacional de Educação Digital e a alteração das Leis de nºs 9.394, de 1996, (Lei de Diretrizes e Bases da Educação Nacional), 9.448, de 1997; 10.260, de 2001; e 10.753, de 2003."
